Video_File;Predicted_Category;feature_0;feature_1;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;feature_9;feature_10;feature_11;feature_12;feature_13;feature_14;feature_15;feature_16;feature_17;feature_18;feature_19;feature_20;feature_21;feature_22;feature_23;feature_24;Predictions
./TestFULL/Baseball/Baseball_008 .mp4;Party;9,633057;9,5502767;9,153709;8,12629162;7,9436267;7,74627712;7,7383872;6,734999;2,186314;-1,6827181;-2,6830535;-4,9990766;-5,1899373;-5,525831;11,4853648;-6,2235705;-7,041129;-7,351326;-8,5962734;-9,39666;-9,987192;-10,178641;-13,29526067;-14,4284332;-14,7257942;"[
'./TestFULL/Baseball/Baseball_008
.mp4',
'Baseball',
9.633057,
9.5502767,
9.153709,
8.12629162,
7.9436267,
7.74627712,
7.7383872,
6.734999,
2.186314,
-1.6827181,
-2.6830535,
-4.9990766,
-5.1899373,
-5.525831,
11.4853648,
-6.2235705,
-7.041129,
-7.351326,
-8.5962734,
-9.39666,
-9.987192,
-10.178641,
-13.29526067,
-14.4284332,
-14.7257942
]"
./TestFULL/Baseball/Baseball_035 .mp4;Party;7,236382;7,01758301;5,70024607;5,1741668;3,979211;3,810255;2,5390313;1,1272913;0,769722;0,0271804;-0,83736771;-2,420178;-3,9387513;-4,338376;11,66577634;-6,69273697;-6,895061;-7,691194;-7,715247;-8,899339;-9,53452839;-11,89687492;-12,601203;-12,7695765;-14,54019617;"[
'./TestFULL/Baseball/Baseball_035
.mp4',
'Baseball',
7.236382,
7.01758301,
5.70024607,
5.1741668,
3.979211,
3.810255,
2.5390313,
1.1272913,
0.769722,
0.0271804,
-0.83736771,
-2.420178,
-3.9387513,
-4.338376,
11.66577634,
-6.69273697,
-6.895061,
-7.691194,
-7.715247,
-8.899339,
-9.53452839,
-11.89687492,
-12.601203,
-12.7695765,
-14.54019617
]"
./TestFULL/Baseball/Baseball_005 .mp4;Party;8,7009954;8,41091518;8,0120375;7,880749;7,871703;5,7604745;3,88232801;1,66768914;0,47857;-1,4428683;-3,26019034;-3,78091233;-4,6715311;-5,819713;8,760993;-6,936468;-7,9989078;-9,581858;-9,869249;-10,351227;-11,05091804;-12,175539;-12,5886209;-13,024722;-14,69475024;"[
'./TestFULL/Baseball/Baseball_005
.mp4',
'Baseball',
8.7009954,
8.41091518,
8.0120375,
7.880749,
7.871703,
5.7604745,
3.88232801,
1.66768914,
0.47857,
-1.4428683,
-3.26019034,
-3.78091233,
-4.6715311,
-5.819713,
8.760993,
-6.936468,
-7.9989078,
-9.581858,
-9.869249,
-10.351227,
-11.05091804,
-12.175539,
-12.5886209,
-13.024722,
-14.69475024
]"
./TestFULL/Baseball/Baseball_021 .mp4;Party;7,5619972;5,88798628;4,65167624;4,2014232;3,8753027;2,78507809;1,9371407;1,89896959;1,54629846;1,4412965;1,185832;-0,319832;-1,34943688;-2,00092287;9,63855154;-5,633054;-7,50873118;-8,70505976;-10,2688408;-10,4085822;-11,18724537;-11,3023026;-12,2963841;-13,79328494;-13,88306771;"[
'./TestFULL/Baseball/Baseball_021
.mp4',
'Baseball',
7.5619972,
5.88798628,
4.65167624,
4.2014232,
3.8753027,
2.78507809,
1.9371407,
1.89896959,
1.54629846,
1.4412965,
1.185832,
-0.319832,
-1.34943688,
-2.00092287,
9.63855154,
-5.633054,
-7.50873118,
-8.70505976,
-10.2688408,
-10.4085822,
-11.18724537,
-11.3023026,
-12.2963841,
-13.79328494,
-13.88306771
]"
./TestFULL/Baseball/Baseball_012 .mp4;Party;9,32703082;6,9987002;5,6782411;5,0511201;4,03616756;3,10871363;2,1521055;1,384391;1,32339755;1,32285006;0,940816;0,3032222;-0,66617021;-0,865254;11,4340233;-1,40516852;-2,267642;-5,9350811;-6,22605326;-7,709026;-7,81588755;-9,779782;-10,593868;-12,3562969;-13,623411;"[
'./TestFULL/Baseball/Baseball_012
.mp4',
'Baseball',
9.32703082,
6.9987002,
5.6782411,
5.0511201,
4.03616756,
3.10871363,
2.1521055,
1.384391,
1.32339755,
1.32285006,
0.940816,
0.3032222,
-0.66617021,
-0.865254,
11.4340233,
-1.40516852,
-2.267642,
-5.9350811,
-6.22605326,
-7.709026,
-7.81588755,
-9.779782,
-10.593868,
-12.3562969,
-13.623411
]"
./TestFULL/Baseball/Baseball_050 .mp4;Party;8,926189;8,25030549;7,2093927;6,9618457;1,328177;1,24385112;0,15739456;0,13211455;-0,41527228;-0,8152947;-1,147017;-1,375065;-1,741352;-2,2090688;10,80246506;-6,3056786;-6,353361;-6,8815502;-9,098947;-9,77016516;-10,765339;-11,230895;-11,6943941;-12,21881716;-13,59411498;"[
'./TestFULL/Baseball/Baseball_050
.mp4',
'Baseball',
8.926189,
8.25030549,
7.2093927,
6.9618457,
1.328177,
1.24385112,
0.15739456,
0.13211455,
-0.41527228,
-0.8152947,
-1.147017,
-1.375065,
-1.741352,
-2.2090688,
10.80246506,
-6.3056786,
-6.353361,
-6.8815502,
-9.098947,
-9.77016516,
-10.765339,
-11.230895,
-11.6943941,
-12.21881716,
-13.59411498
]"
./TestFULL/Baseball/Baseball_019 .mp4;Party;8,6863649;8,12822655;8,0962868;7,19655619;5,1928611;4,513018;3,266399;2,584216;1,443823;0,406032;-0,451716;-0,9342649;-1,37033092;-1,588142;11,65195;-3,150499;-3,24788142;-7,5150859;-7,86849658;-10,22317088;-10,2417563;-11,04717502;-11,7322838;-11,930105;-14,880189;"[
'./TestFULL/Baseball/Baseball_019
.mp4',
'Baseball',
8.6863649,
8.12822655,
8.0962868,
7.19655619,
5.1928611,
4.513018,
3.266399,
2.584216,
1.443823,
0.406032,
-0.451716,
-0.9342649,
-1.37033092,
-1.588142,
11.65195,
-3.150499,
-3.24788142,
-7.5150859,
-7.86849658,
-10.22317088,
-10.2417563,
-11.04717502,
-11.7322838,
-11.930105,
-14.880189
]"
./TestFULL/Baseball/Baseball_022 .mp4;Party;9,543051;7,29226;6,977688;6,283221;6,211627;4,5125417;4,186708;3,10996824;2,98074337;2,9520907;2,5835094;2,40024232;0,084861;-1,90309946;11,711276;-4,98713859;-5,226468;-9,3812166;-11,1856871;-11,25318019;-11,7068384;-12,17241012;-12,93921477;-14,61103;-14,7004334;"[
'./TestFULL/Baseball/Baseball_022
.mp4',
'Baseball',
9.543051,
7.29226,
6.977688,
6.283221,
6.211627,
4.5125417,
4.186708,
3.10996824,
2.98074337,
2.9520907,
2.5835094,
2.40024232,
0.084861,
-1.90309946,
11.711276,
-4.98713859,
-5.226468,
-9.3812166,
-11.1856871,
-11.25318019,
-11.7068384,
-12.17241012,
-12.93921477,
-14.61103,
-14.7004334
]"
./TestFULL/Baseball/Baseball_001 .mp4;Party;9,79122189;8,98420057;6,54901931;6,43043256;6,3026624;5,504676;2,926923;-0,3212671;-0,467688;-1,91806866;-2,1911743;-2,19963;-3,45348508;-4,224584;8,9634033;-7,36699918;-8,150553;-8,2742165;-9,62650409;-9,83833994;-11,4068434;-13,1516451;-13,732842;-14,3509105;-14,615778;"[
'./TestFULL/Baseball/Baseball_001
.mp4',
'Baseball',
9.79122189,
8.98420057,
6.54901931,
6.43043256,
6.3026624,
5.504676,
2.926923,
-0.3212671,
-0.467688,
-1.91806866,
-2.1911743,
-2.19963,
-3.45348508,
-4.224584,
8.9634033,
-7.36699918,
-8.150553,
-8.2742165,
-9.62650409,
-9.83833994,
-11.4068434,
-13.1516451,
-13.732842,
-14.3509105,
-14.615778
]"
./TestFULL/Baseball/Baseball_046 .mp4;Party;8,66304695;7,9164332;7,02845384;6,9932901;6,956341;3,51532633;3,17593758;2,8932325;-0,0739888;-0,273441;-1,04258038;-1,728951;-1,738551;-1,831369;9,750874;-2,59980348;-4,971393;-5,19661974;-6,4214175;-9,9470103;-10,51911066;-10,781327;-11,576085;-14,635187;-14,89232435;"[
'./TestFULL/Baseball/Baseball_046
.mp4',
'Baseball',
8.66304695,
7.9164332,
7.02845384,
6.9932901,
6.956341,
3.51532633,
3.17593758,
2.8932325,
-0.0739888,
-0.273441,
-1.04258038,
-1.728951,
-1.738551,
-1.831369,
9.750874,
-2.59980348,
-4.971393,
-5.19661974,
-6.4214175,
-9.9470103,
-10.51911066,
-10.781327,
-11.576085,
-14.635187,
-14.89232435
]"
