Video_File;Predicted_Category;feature_0;feature_1;feature_2;feature_3;feature_4;feature_5;feature_6;feature_7;feature_8;feature_9;feature_10;feature_11;feature_12;feature_13;feature_14;feature_15;feature_16;feature_17;feature_18;feature_19;feature_20;feature_21;feature_22;feature_23;feature_24;Predictions
./TestFULL/Baseball/Baseball_008 .mp4;ReligiousActivity;8,40236631;7,4802457;7,42766193;6,939793;6,9035415;5,35256626;5,0330021;4,3784374;1,454786;0,244362;-0,0386422;-0,597876;-2,449371;-2,5257238;-3,369738;-4,4880567;-5,38534377;-5,5562019;-5,82470768;8,8342437;-9,1918135;-10,333645;-10,57326531;-10,7779732;-13,54353;"[
'./TestFULL/Baseball/Baseball_008
.mp4',
'Baseball',
8.40236631,
7.4802457,
7.42766193,
6.939793,
6.9035415,
5.35256626,
5.0330021,
4.3784374,
1.454786,
0.244362,
-0.0386422,
-0.597876,
-2.449371,
-2.5257238,
-3.369738,
-4.4880567,
-5.38534377,
-5.5562019,
-5.82470768,
8.8342437,
-9.1918135,
-10.333645,
-10.57326531,
-10.7779732,
-13.54353
]"
./TestFULL/Baseball/Baseball_035 .mp4;ReligiousActivity;8,5376217;7,324516;4,6976136;4,422142;3,1708783;2,1020974;0,250741;-0,14289351;-1,03958047;-1,8042947;-2,0183008;-3,2391138;-3,4359177;-3,924261;-4,0548327;-5,300818;-5,92634676;-6,9165262;-7,07247;10,1305103;-7,93957235;-8,0047163;-8,89956856;-13,18239096;-13,38846433;"[
'./TestFULL/Baseball/Baseball_035
.mp4',
'Baseball',
8.5376217,
7.324516,
4.6976136,
4.422142,
3.1708783,
2.1020974,
0.250741,
-0.14289351,
-1.03958047,
-1.8042947,
-2.0183008,
-3.2391138,
-3.4359177,
-3.924261,
-4.0548327,
-5.300818,
-5.92634676,
-6.9165262,
-7.07247,
10.1305103,
-7.93957235,
-8.0047163,
-8.89956856,
-13.18239096,
-13.38846433
]"
./TestFULL/Baseball/Baseball_005 .mp4;ReligiousActivity;9,6965;9,11856122;8,349266;7,87920232;7,5329985;6,865827;6,045457;4,9516443;4,828141;4,7721074;4,67517717;3,45086051;2,6960697;1,9825091;0,9725089;-0,759482;-1,9082082;-2,130354;-2,7412705;10,1148991;-6,63683185;-9,738614;-10,4714077;-10,8308537;-13,008754;"[
'./TestFULL/Baseball/Baseball_005
.mp4',
'Baseball',
9.6965,
9.11856122,
8.349266,
7.87920232,
7.5329985,
6.865827,
6.045457,
4.9516443,
4.828141,
4.7721074,
4.67517717,
3.45086051,
2.6960697,
1.9825091,
0.9725089,
-0.759482,
-1.9082082,
-2.130354,
-2.7412705,
10.1148991,
-6.63683185,
-9.738614,
-10.4714077,
-10.8308537,
-13.008754
]"
./TestFULL/Baseball/Baseball_021 .mp4;ReligiousActivity;9,4039531;8,655247;7,806911;7,45468591;3,192422;3,14315024;2,5710448;2,0048883;1,4203194;1,191581;1,063561;-0,11162451;-0,55773754;-1,134092;-1,3529357;-3,23435597;-3,528697;-5,45273459;-8,054396;8,919374;-9,17823603;-10,1282845;-13,229926;-13,7613032;-14,843098;"[
'./TestFULL/Baseball/Baseball_021
.mp4',
'Baseball',
9.4039531,
8.655247,
7.806911,
7.45468591,
3.192422,
3.14315024,
2.5710448,
2.0048883,
1.4203194,
1.191581,
1.063561,
-0.11162451,
-0.55773754,
-1.134092,
-1.3529357,
-3.23435597,
-3.528697,
-5.45273459,
-8.054396,
8.919374,
-9.17823603,
-10.1282845,
-13.229926,
-13.7613032,
-14.843098
]"
./TestFULL/Baseball/Baseball_012 .mp4;ReligiousActivity;7,9472816;6,7972124;6,2387746;5,66524071;5,5256738;5,2632732;1,4680635;0,5953823;0,03370009;-0,39259469;-0,88823532;-1,118949;-1,12076676;-1,55184997;-1,9285839;-4,5300371;-5,00702;-5,40447;-5,99353468;11,22512202;-8,6799377;-9,07173713;-10,568766;-10,9964958;-13,479468;"[
'./TestFULL/Baseball/Baseball_012
.mp4',
'Baseball',
7.9472816,
6.7972124,
6.2387746,
5.66524071,
5.5256738,
5.2632732,
1.4680635,
0.5953823,
0.03370009,
-0.39259469,
-0.88823532,
-1.118949,
-1.12076676,
-1.55184997,
-1.9285839,
-4.5300371,
-5.00702,
-5.40447,
-5.99353468,
11.22512202,
-8.6799377,
-9.07173713,
-10.568766,
-10.9964958,
-13.479468
]"
./TestFULL/Baseball/Baseball_050 .mp4;ReligiousActivity;9,7317104;9,478727;6,050842;3,7848473;1,947992;1,25046299;0,4162606;-0,0761862;-1,20324372;-3,94765256;-4,210301;-4,67072762;-4,817104;-5,6768063;-5,77202;-6,97834;-7,7119907;-8,41697;-9,605811;11,4003106;-12,8007177;-13,3666583;-14,1897045;-14,2730759;-14,54066575;"[
'./TestFULL/Baseball/Baseball_050
.mp4',
'Baseball',
9.7317104,
9.478727,
6.050842,
3.7848473,
1.947992,
1.25046299,
0.4162606,
-0.0761862,
-1.20324372,
-3.94765256,
-4.210301,
-4.67072762,
-4.817104,
-5.6768063,
-5.77202,
-6.97834,
-7.7119907,
-8.41697,
-9.605811,
11.4003106,
-12.8007177,
-13.3666583,
-14.1897045,
-14.2730759,
-14.54066575
]"
./TestFULL/Baseball/Baseball_019 .mp4;ReligiousActivity;8,4247876;8,40301518;7,004198;6,61892015;5,94666235;5,894242;5,8615193;4,657634;4,5952765;3,2644533;3,1685202;2,909299;2,7646421;2,71862549;2,44725336;0,645383;0,6272518;0,459189;-2,015151;10,934962;-7,56558184;-7,7180131;-10,4510643;-10,603419;-13,7736926;"[
'./TestFULL/Baseball/Baseball_019
.mp4',
'Baseball',
8.4247876,
8.40301518,
7.004198,
6.61892015,
5.94666235,
5.894242,
5.8615193,
4.657634,
4.5952765,
3.2644533,
3.1685202,
2.909299,
2.7646421,
2.71862549,
2.44725336,
0.645383,
0.6272518,
0.459189,
-2.015151,
10.934962,
-7.56558184,
-7.7180131,
-10.4510643,
-10.603419,
-13.7736926
]"
./TestFULL/Baseball/Baseball_022 .mp4;ReligiousActivity;9,1149603;9,083477;8,351394;8,3038474;7,8173797;7,5416366;6,8716746;6,540001;6,199988;4,6840595;3,4489464;2,65034211;2,622409;0,48353514;-1,25807433;-1,47519413;-2,0345578;-3,2895615;-4,875291;9,577441;-8,739706;-10,46986296;-10,75002452;-12,5883476;-13,4762644;"[
'./TestFULL/Baseball/Baseball_022
.mp4',
'Baseball',
9.1149603,
9.083477,
8.351394,
8.3038474,
7.8173797,
7.5416366,
6.8716746,
6.540001,
6.199988,
4.6840595,
3.4489464,
2.65034211,
2.622409,
0.48353514,
-1.25807433,
-1.47519413,
-2.0345578,
-3.2895615,
-4.875291,
9.577441,
-8.739706,
-10.46986296,
-10.75002452,
-12.5883476,
-13.4762644
]"
./TestFULL/Baseball/Baseball_001 .mp4;ReligiousActivity;9,41051553;9,3255073;6,3820813;6,37078086;6,304533;3,2958319;1,65676207;1,443354;1,384976;0,41964;0,0916492;-0,4392828;-0,811948;-2,85274854;-2,901203;-6,1693901;-6,7917002;-7,070598;-8,84373;10,455051;-10,700322;-10,844563;-10,9640936;-11,990325;-12,6387996;"[
'./TestFULL/Baseball/Baseball_001
.mp4',
'Baseball',
9.41051553,
9.3255073,
6.3820813,
6.37078086,
6.304533,
3.2958319,
1.65676207,
1.443354,
1.384976,
0.41964,
0.0916492,
-0.4392828,
-0.811948,
-2.85274854,
-2.901203,
-6.1693901,
-6.7917002,
-7.070598,
-8.84373,
10.455051,
-10.700322,
-10.844563,
-10.9640936,
-11.990325,
-12.6387996
]"
./TestFULL/Baseball/Baseball_046 .mp4;ReligiousActivity;7,4345625;6,601084;5,648022;5,2826688;5,120309;5,11302;3,14345541;2,921182;2,53819808;1,8532245;1,820898;1,4623091;-2,279586;-2,3728882;-4,09362263;-4,671957;-4,940699;-5,15818;-6,19188005;10,4910178;-7,63718134;-11,1029595;-12,8399987;-14,589307;-14,7867593;"[
'./TestFULL/Baseball/Baseball_046
.mp4',
'Baseball',
7.4345625,
6.601084,
5.648022,
5.2826688,
5.120309,
5.11302,
3.14345541,
2.921182,
2.53819808,
1.8532245,
1.820898,
1.4623091,
-2.279586,
-2.3728882,
-4.09362263,
-4.671957,
-4.940699,
-5.15818,
-6.19188005,
10.4910178,
-7.63718134,
-11.1029595,
-12.8399987,
-14.589307,
-14.7867593
]"
