Video_File,Predicted_Category,Predictions
./TestFULL/Baseball/Baseball_008 .mp4,Basketball,"[[ 7.588805    9.6657295   3.4787247  -0.01085882 -3.4875255   3.7502651
   5.5503035  -1.9228173   3.2099876   2.2511334  -9.427262   -3.8710053
  -6.4430723   3.5902338  -0.04639251 -2.7262459  -1.5760679  -6.032163
  -7.3702917  -4.7181525  -6.6003747   6.2536736  -7.8473134   6.6931643
  -2.2487116 ]]"
./TestFULL/Baseball/Baseball_035 .mp4,Basketball,"[[ 6.1885247   7.720487    3.2894878  -0.358211   -2.1327884   3.0614722
   4.7060437  -1.646132    2.189694    1.1906247  -8.085797   -3.5248053
  -5.6329284   2.9228575  -0.42055756 -2.2629483  -1.5115091  -4.2304068
  -6.1450996  -3.9560242  -5.4755273   5.0018654  -6.491792    5.5447383
  -1.5272511 ]]"
./TestFULL/Baseball/Baseball_005 .mp4,Basketball,"[[  8.569119    10.413048     4.0015645   -0.37147743  -3.2551637
    4.0560894    6.0949445   -2.1989846    3.1086235    2.0348585
  -10.694913    -4.511249    -7.2652545    3.6420577   -0.27596596
   -2.8364027   -1.8068817   -5.880654    -8.167591    -4.9345565
   -7.0411363    6.8234296   -8.610317     7.2719827   -2.3930442 ]]"
./TestFULL/Baseball/Baseball_021 .mp4,Basketball,"[[  8.741597    10.5460005    3.8990583   -0.16370456  -3.7153761
    4.467073     6.2842865   -2.2794876    3.5193112    2.3996975
  -10.312196    -4.361206    -7.0676975    3.9037843    0.05387216
   -2.9699287   -1.773205    -6.2505174   -8.254455    -4.989282
   -7.454275     6.8919487   -8.271203     7.259921    -2.3988762 ]]"
./TestFULL/Baseball/Baseball_012 .mp4,Basketball,"[[ 8.075392    9.874465    3.5724635  -0.33982232 -3.1638215   3.9436686
   5.849997   -2.2924874   2.926849    2.1346943  -9.902324   -3.9905202
  -6.6990767   3.7000096  -0.23292567 -2.6948311  -1.6414394  -5.3876805
  -7.505119   -4.508091   -6.97514     6.579494   -8.121884    6.8456206
  -2.2479942 ]]"
./TestFULL/Baseball/Baseball_050 .mp4,Basketball,"[[  7.9805555   10.234886     4.434549    -0.33288687  -2.9219146
    4.0431776    6.428229    -2.2369044    3.2125258    1.6775639
  -10.150863    -4.388619    -7.3250513    4.006453    -0.40867183
   -3.2357168   -1.9856896   -5.8598957   -7.9263124   -5.428751
   -7.3849792    6.553362    -8.204501     7.2577147   -2.0919113 ]]"
./TestFULL/Baseball/Baseball_019 .mp4,Basketball,"[[  8.889405    11.198018     4.3092937   -0.23277311  -3.6885052
    4.462161     6.7647343   -2.2578444    3.771986     2.0749269
  -10.97621     -4.450884    -7.8568134    4.329839    -0.0768384
   -3.4390237   -1.9644848   -6.5834517   -8.577341    -5.5252314
   -7.830287     7.250554    -8.946013     7.835592    -2.4746993 ]]"
./TestFULL/Baseball/Baseball_022 .mp4,Basketball,"[[ 5.8494124   7.2421947   3.256951   -0.08733729 -2.0093744   2.9895253
   4.594719   -1.6503378   2.2702703   1.1799417  -7.070698   -3.0892067
  -5.3132496   2.8847475  -0.2661315  -2.5206335  -1.4309621  -4.2227664
  -5.725353   -3.8600628  -5.4553385   4.647188   -5.70306     5.1638093
  -1.391831  ]]"
./TestFULL/Baseball/Baseball_001 .mp4,Basketball,"[[ 7.217109    8.778038    3.5575287  -0.08134735 -2.9297497   3.6437137
   5.4774218  -1.7167966   2.8462431   1.475133   -8.4634     -3.5561378
  -6.2501025   3.5806744   0.10063278 -2.8713007  -1.6646658  -5.448019
  -7.042998   -4.4398847  -6.4029093   5.74339    -6.995913    6.2971745
  -1.6920761 ]]"
./TestFULL/Baseball/Baseball_046 .mp4,Basketball,"[[ 5.9569793   7.2744694   2.5924203   0.01812428 -2.723036    2.739131
   4.3944783  -1.2701995   2.352562    1.6106913  -6.8387914  -2.610819
  -4.7398095   2.6722834   0.08373202 -2.287153   -1.0514964  -4.6292887
  -5.691763   -3.7183578  -4.9762464   4.8099723  -5.709411    5.0024853
  -1.5208335 ]]"
./TestFULL/Baseball/Baseball_028 .mp4,Basketball,"[[ 6.724186    8.474829    3.7192483  -0.40279636 -2.4399831   3.4214547
   5.3535905  -1.9351271   2.5857136   1.3686603  -8.672891   -3.7116673
  -6.065907    3.3492389  -0.22269443 -2.6385193  -1.7411116  -4.6477103
  -6.5291047  -4.2900133  -6.133045    5.5184274  -6.988678    6.0267367
  -1.808982  ]]"
./TestFULL/Baseball/Baseball_026 .mp4,Basketball,"[[ 7.9749765e+00  9.4620161e+00  3.4196763e+00 -6.7488472e-03
  -3.3155305e+00  4.2267551e+00  6.0766945e+00 -2.2022991e+00
   3.1840243e+00  2.1118941e+00 -9.2015696e+00 -3.8780768e+00
  -6.3101115e+00  3.4278252e+00 -7.3993698e-02 -2.8897829e+00
  -1.5028396e+00 -5.7291059e+00 -7.4894247e+00 -4.5327711e+00
  -6.9456296e+00  6.2958012e+00 -7.2459440e+00  6.5325565e+00
  -2.1074965e+00]]"
./TestFULL/Baseball/Baseball_023 .mp4,Basketball,"[[ 7.7016654   9.555878    3.7962506  -0.31393802 -3.181014    3.7125685
   5.5088596  -2.0054796   3.0311916   1.9674393  -9.589093   -4.2426257
  -6.650328    3.665924   -0.16312215 -2.7007883  -1.8870089  -5.5670853
  -7.4885488  -4.8432093  -6.652709    6.2360344  -7.902728    6.8048615
  -2.0386689 ]]"
./TestFULL/Baseball/Baseball_044 .mp4,Basketball,"[[ 7.7137766   9.89828     3.978626   -0.23100843 -3.1479268   3.8243804
   5.7128115  -2.0828702   3.045948    1.8844267  -9.76028    -4.1621456
  -6.871252    3.8221295  -0.2782834  -3.0099857  -1.7161239  -5.7734637
  -7.659585   -4.974584   -6.9259143   6.387588   -7.9803414   6.9384885
  -2.1701236 ]]"
./TestFULL/Baseball/Baseball_017 .mp4,Basketball,"[[  8.486959    10.615916     4.198865    -0.30065832  -3.463498
    4.1554017    6.391417    -2.2144852    3.3117437    2.077092
  -10.555271    -4.4071693   -7.3314514    4.047266    -0.1726966
   -3.1093855   -1.8483531   -6.1237044   -8.213862    -5.13131
   -7.5688243    6.9841247   -8.454832     7.4881034   -2.2976594 ]]"
./TestFULL/Basketball/Basketball_047 .mp4,Basketball,"[[  8.285716    10.249729     3.8894928   -0.4302997   -3.106059
    4.0535846    6.086558    -2.23586      2.9872613    1.9919614
  -10.337947    -4.3048058   -7.2073255    3.8040946   -0.25806156
   -2.8413918   -1.8350967   -5.7119713   -7.854433    -4.9341216
   -7.166869     6.656821    -8.460702     7.041623    -2.2593973 ]]"
./TestFULL/Basketball/Basketball_043 .mp4,Basketball,"[[ 8.330964   10.686059    3.9021616  -0.06571551 -3.902587    3.9377823
   6.1511664  -1.7364999   3.4252157   1.9859045  -9.993374   -3.8352487
  -7.2613745   4.343887    0.14286962 -3.2970185  -1.6966635  -6.6668262
  -8.327096   -5.3558483  -7.185557    6.9616637  -8.569358    7.297607
  -2.2370145 ]]"
./TestFULL/Basketball/Basketball_001 .mp4,Basketball,"[[  9.597583    11.552887     4.475056    -0.65854484  -3.4092505
    4.604309     6.772913    -2.729342     3.112945     2.2107916
  -11.73414     -5.099771    -8.152553     4.435055    -0.30795047
   -3.260634    -2.3657913   -5.950757    -8.799544    -5.500516
   -8.405294     7.5962076   -9.705882     8.219016    -2.378987  ]]"
./TestFULL/Basketball/Basketball_009 .mp4,Basketball,"[[ 7.638089    9.414707    3.4929326  -0.32537925 -2.995388    3.7992158
   5.588352   -2.1749384   2.8506918   2.0052116  -9.420132   -4.005103
  -6.3997755   3.4218802  -0.27561274 -2.6757715  -1.642437   -5.254442
  -7.20765    -4.5300565  -6.617146    6.169508   -7.70488     6.4957557
  -2.1079965 ]]"
./TestFULL/Basketball/Basketball_024 .mp4,Basketball,"[[ 10.946064    13.5757885    4.9760804   -0.75317353  -4.1223187
    5.3261814    7.8676596   -3.1171699    3.753535     2.7450132
  -13.87467     -5.865735    -9.366327     4.986606    -0.5439525
   -3.5776145   -2.439465    -7.147277   -10.328217    -6.3979774
   -9.45993      8.918608   -11.454454     9.4234      -2.9743912 ]]"
./TestFULL/Basketball/Basketball_020 .mp4,Basketball,"[[  9.592178   12.575552    5.1099315  -0.5995949  -3.7619917   4.9517903
    7.5370665  -2.7460332   3.888287    2.3228738 -12.702779   -5.492422
   -8.718824    4.740645   -0.564131   -3.5641866  -2.3285494  -6.96914
   -9.53816    -6.277354   -8.699128    8.058014  -10.245645    8.6816025
   -2.713475 ]]"
./TestFULL/Basketball/Basketball_040 .mp4,Basketball,"[[ 2.2960527   3.113673    1.419147   -0.19030747 -0.8535492   1.2028241
   1.9668084  -0.7550409   0.97478443  0.4605015  -3.1612     -1.4003432
  -2.213266    1.2352983  -0.2111507  -0.9466499  -0.60683554 -1.5884258
  -2.3069134  -1.598395   -2.2479951   1.9681183  -2.587524    2.2162695
  -0.6642459 ]]"
