Video_File,Predicted_Category,Predictions
./TestFULL/Baseball/Baseball_008 .mp4,Baseball,"[[ 16.088505    14.101495    -7.0261064    8.37626      1.4423118
    4.146321     3.986604    -2.4968867   -0.5903527   -9.566892
   -2.2385378    3.5540097   -3.807735     5.915869     6.2841625
    1.6666069    4.2910523   -1.9749203   -0.02521036   1.6094596
  -15.938232    14.2879505    2.1754951   -5.5630717   14.207739  ]]"
./TestFULL/Baseball/Baseball_035 .mp4,Baseball,"[[ 11.607902    10.526666    -4.746748     5.9535193    1.0093156
    2.7722244    3.0711262   -1.8203079   -0.32608944  -6.7284336
   -1.5360439    2.859453    -2.6830244    4.2627115    4.524831
    1.1547114    2.9336748   -1.5534874   -0.17122044   1.4657564
  -11.831809    10.625596     1.649132    -4.1995215   10.027204  ]]"
./TestFULL/Baseball/Baseball_005 .mp4,Baseball,"[[ 16.195442    14.1898      -6.6858554    8.30498      1.4483573
    4.0309567    4.0986953   -2.39175     -0.56028116  -9.216314
   -2.0930507    3.4322953   -3.8872101    5.83825      5.9917397
    1.6816156    4.1417503   -2.0359647   -0.23708478   1.8592266
  -16.049763    14.313887     2.1597512   -5.493051    13.971119  ]]"
./TestFULL/Baseball/Baseball_021 .mp4,Baseball,"[[ 16.387255    14.231383    -7.024474     8.466207     1.4143564
    4.24061      3.8236337   -2.6302738   -0.55212706  -9.300556
   -2.4030128    3.500857    -4.1331763    6.0624547    6.093338
    1.6473129    4.30639     -1.9441907   -0.2397689    1.3677477
  -15.81698     14.42014      2.273925    -5.213282    14.348842  ]]"
./TestFULL/Baseball/Baseball_012 .mp4,Baseball,"[[ 13.297393    11.3497305   -5.36471      6.6729116    1.2388332
    3.2084806    3.3418505   -1.9926268   -0.3826313   -7.415277
   -1.8344452    2.7803113   -3.2137456    4.8222537    5.0431395
    1.5228498    3.4033647   -1.558253    -0.22535345   1.1655662
  -12.870087    11.57871      2.0201125   -4.271668    11.359123  ]]"
./TestFULL/Baseball/Baseball_050 .mp4,Baseball,"[[ 15.232626    13.679935    -6.4334216    8.004758     1.445157
    3.684682     3.8854792   -2.487822    -0.34687778  -9.116446
   -2.199856     3.7659438   -3.494512     5.646123     6.2056203
    1.5618751    3.9437344   -2.029536    -0.04175751   1.5608375
  -14.942005    13.984996     2.2407608   -5.1118975   13.153299  ]]"
./TestFULL/Baseball/Baseball_019 .mp4,Baseball,"[[ 17.039051    15.2222595   -7.2493334    8.882986     1.4573684
    4.2597475    4.2704706   -2.8635056   -0.5856625  -10.136391
   -2.4694085    3.9238772   -4.1778865    6.3926196    6.7010007
    1.7040565    4.55725     -2.2200525   -0.21035834   1.8003503
  -16.743288    15.564004     2.323249    -5.7410016   14.858862  ]]"
./TestFULL/Baseball/Baseball_022 .mp4,Baseball,"[[ 11.064967    10.259557    -4.7327256    5.853731     1.0195674
    2.6581645    2.8678982   -1.9848691   -0.1599874   -6.847927
   -1.7075267    2.9888728   -2.642582     4.0989203    4.7209196
    0.99747497   2.9551048   -1.4545774   -0.14220421   1.0767249
  -10.762093    10.479863     1.7233261   -3.7714002    9.556017  ]]"
./TestFULL/Baseball/Baseball_001 .mp4,Baseball,"[[ 14.891208    13.614657    -6.30804      7.6450143    1.3737673
    3.6993573    3.903469    -2.2617638   -0.66302294  -9.011947
   -2.4149716    3.7919316   -3.7876287    5.4953275    6.1275125
    1.4931426    4.01875     -2.0829124   -0.40544176   1.5358529
  -14.728476    13.937454     2.011412    -5.2941523   13.07215   ]]"
./TestFULL/Baseball/Baseball_046 .mp4,Baseball,"[[ 12.544337    10.875236    -5.589253     6.580909     1.1748911
    3.4529653    3.1359098   -1.8625605   -0.45242321  -7.3717675
   -1.9412361    2.7588863   -3.132505     4.644181     4.9082537
    1.5483304    3.5417416   -1.5720412   -0.20825      0.97697043
  -12.118522    11.001823     1.6552061   -4.2764635   11.255561  ]]"
./TestFULL/Baseball/Baseball_028 .mp4,Baseball,"[[ 12.650124    11.230837    -5.2187696    6.633598     1.168422
    3.2262602    3.268054    -1.994735    -0.2801713   -7.3416443
   -1.7618927    2.9114566   -3.001903     4.5479355    5.0076017
    1.4352317    3.384194    -1.5523629   -0.10045116   1.2272726
  -12.437561    11.469359     1.7922891   -4.3139396   10.946093  ]]"
./TestFULL/Baseball/Baseball_026 .mp4,Baseball,"[[ 13.804644    12.3497715   -6.2203436    7.308941     1.1535027
    3.4196985    3.2046483   -2.4558508   -0.41189033  -8.019446
   -2.4042416    3.1649082   -3.6965191    5.4208183    5.3560653
    1.2565569    3.5595253   -1.7702422   -0.39536694   1.0328814
  -13.517437    12.572831     2.1736445   -4.4573607   12.290854  ]]"
./TestFULL/Baseball/Baseball_023 .mp4,Baseball,"[[ 15.515547    13.751208    -6.3606753    7.928993     1.4240631
    3.8267906    4.0572834   -2.3008096   -0.60287076  -9.008492
   -2.0139623    3.4184191   -3.6416488    5.5258827    6.039319
    1.7280571    4.096414    -2.0301733   -0.16303329   1.6636868
  -15.3655815   13.874863     2.090811    -5.3330407   13.374306  ]]"
./TestFULL/Baseball/Baseball_044 .mp4,Baseball,"[[ 15.130561    13.178584    -6.259162     7.8379745    1.3386667
    3.8062491    3.7269475   -2.3387363   -0.32524654  -8.813703
   -2.0725415    3.3867455   -3.4522724    5.5090895    5.9225626
    1.6465806    4.062338    -1.9405034   -0.05123184   1.4705681
  -14.716537    13.3377285    2.1371343   -5.0208864   13.136981  ]]"
./TestFULL/Baseball/Baseball_017 .mp4,Baseball,"[[ 16.03911     13.811164    -6.5716405    8.309396     1.4386836
    4.044668     3.9878883   -2.4339414   -0.36381462  -9.143989
   -2.3405166    3.3622205   -3.8300872    5.859414     6.153008
    1.8491013    4.354336    -1.9516175   -0.10693863   1.3900778
  -15.420964    14.096123     2.2682493   -5.1643076   13.956383  ]]"
./TestFULL/Basketball/Basketball_047 .mp4,Baseball,"[[ 14.925434    12.942637    -6.0993676    7.5770264    1.4378617
    3.563748     3.7505713   -2.220908    -0.48353168  -8.423711
   -1.9399042    3.167589    -3.4569185    5.3904953    5.656825
    1.5703976    3.7236323   -1.7256479   -0.12061102   1.4856465
  -14.6543045   13.099644     2.1445181   -5.047291    12.792295  ]]"
