Video_File,Predicted_Category,Predictions
./TestFULL/Baseball/Baseball_008 .mp4,Landslide,"[[-6.3399850e+10  3.3739469e+09 -4.8848783e+09 -7.8869807e+10
   1.2476378e+09 -1.7606222e+09  2.4899973e+09  6.7842621e+10
  -2.1988943e+09  1.7029305e+10  1.7272855e+10  1.1337711e+11
   1.0673028e+10 -1.4397278e+10  4.1783185e+10 -1.9789213e+09
  -7.9537160e+10  3.2240566e+10  6.3225508e+09  3.3328558e+10
  -6.1800722e+10 -5.3234582e+10 -5.8791051e+10  1.1535425e+10
  -1.3669840e+10]]"
./TestFULL/Baseball/Baseball_035 .mp4,Landslide,"[[-6.67265966e+10  2.92120678e+09 -3.26365414e+09 -8.41630024e+10
   2.25929626e+09 -2.13045018e+09  2.52649702e+09  7.11703183e+10
  -3.65955200e+09  1.71876106e+10  1.78899169e+10  1.18576366e+11
   1.12035328e+10 -1.53839206e+10  4.34074624e+10 -2.29524966e+09
  -8.33529446e+10  3.27689257e+10  8.23305830e+09  3.58012273e+10
  -6.60250051e+10 -5.66633226e+10 -6.42217165e+10  1.42843372e+10
  -1.52174213e+10]]"
./TestFULL/Baseball/Baseball_005 .mp4,Landslide,"[[-5.9280409e+10  4.0711903e+09 -4.2420029e+09 -7.5249230e+10
   1.6766162e+09 -2.2346980e+09  2.7023816e+09  6.4222089e+10
  -3.3058995e+09  1.6203807e+10  1.6042717e+10  1.0789552e+11
   1.0525823e+10 -1.3917454e+10  3.8407389e+10 -2.8615744e+09
  -7.4184679e+10  2.9016515e+10  7.4046433e+09  3.1699569e+10
  -5.8513957e+10 -5.0528682e+10 -5.7408893e+10  1.0928641e+10
  -1.3359771e+10]]"
./TestFULL/Baseball/Baseball_021 .mp4,Landslide,"[[-7.3852330e+10  4.7337001e+09 -5.7202452e+09 -8.9478652e+10
   2.5211333e+09 -1.4796511e+09  4.4800819e+09  7.7770244e+10
  -2.9518717e+09  1.9474076e+10  2.0787243e+10  1.2968804e+11
   1.2236165e+10 -1.5153381e+10  4.5064872e+10 -5.1014963e+09
  -9.1196441e+10  3.7745218e+10  9.5979981e+09  3.8508802e+10
  -7.0783402e+10 -5.7807364e+10 -6.5942913e+10  1.3649963e+10
  -1.5289893e+10]]"
./TestFULL/Baseball/Baseball_012 .mp4,Landslide,"[[-4.6325043e+10  1.2185727e+09 -3.5669857e+09 -5.5684035e+10
   1.1304104e+09 -1.2756600e+08 -6.0553165e+08  4.9906483e+10
  -3.7534625e+09  1.1744996e+10  1.2395767e+10  8.5810840e+10
   5.8509645e+09 -9.8866934e+09  3.0884293e+10 -2.1920922e+09
  -5.5063052e+10  2.4228524e+10  5.6328392e+09  2.3967146e+10
  -4.4616430e+10 -3.8479815e+10 -4.1798418e+10  7.5715215e+09
  -8.9233203e+09]]"
./TestFULL/Baseball/Baseball_050 .mp4,Landslide,"[[-9.9833037e+10  4.3901650e+09 -4.1130196e+09 -1.2710214e+11
   3.4387016e+09 -3.9401651e+09  1.2488905e+09  1.1143408e+11
  -9.1575081e+09  2.8493197e+10  2.9708919e+10  1.8836641e+11
   1.6498770e+10 -2.5090601e+10  6.7199193e+10 -5.0579164e+09
  -1.2345481e+11  4.7161766e+10  1.0851297e+10  5.3233258e+10
  -1.0247256e+11 -8.5698478e+10 -9.8844148e+10  1.7693336e+10
  -2.3271410e+10]]"
./TestFULL/Baseball/Baseball_019 .mp4,Landslide,"[[-8.5524742e+10  2.7039416e+09 -5.0793498e+09 -1.0697176e+11
   3.1900690e+09 -3.4775877e+09  2.4170706e+09  9.3324853e+10
  -6.6015324e+09  2.3390511e+10  2.4322599e+10  1.5806480e+11
   1.3601524e+10 -1.9549024e+10  5.6587497e+10 -3.9328735e+09
  -1.0483559e+11  4.0638755e+10  8.9188618e+09  4.5059752e+10
  -8.5837906e+10 -7.2409866e+10 -8.2373616e+10  1.5292144e+10
  -1.9289995e+10]]"
./TestFULL/Baseball/Baseball_022 .mp4,Landslide,"[[-9.8623095e+10  5.6163292e+09 -5.2718536e+09 -1.2427618e+11
   3.6982984e+09 -3.5064192e+09  4.1270764e+09  1.0788130e+11
  -6.4329549e+09  2.7483517e+10  2.7323242e+10  1.8000950e+11
   1.7159920e+10 -2.3401325e+10  6.5077445e+10 -4.2265408e+09
  -1.2324329e+11  4.6250234e+10  1.2268324e+10  5.1553804e+10
  -9.7650467e+10 -8.3586736e+10 -9.7412358e+10  1.9557061e+10
  -2.2750622e+10]]"
./TestFULL/Baseball/Baseball_001 .mp4,Landslide,"[[-7.7461627e+10  2.2171500e+09 -5.8651402e+09 -9.5209087e+10
   3.5619786e+09 -3.0799450e+09  2.0650314e+09  8.3936395e+10
  -6.1928714e+09  2.2050980e+10  2.1986978e+10  1.4251160e+11
   1.1220992e+10 -1.6790282e+10  5.0021335e+10 -4.3394074e+09
  -9.5136834e+10  3.6322595e+10  8.7344179e+09  4.1451028e+10
  -7.7016023e+10 -6.3189713e+10 -7.2907899e+10  1.3396852e+10
  -1.7464420e+10]]"
./TestFULL/Baseball/Baseball_046 .mp4,Landslide,"[[-8.38335775e+10  2.36249216e+09 -5.47550362e+09 -1.06380394e+11
   3.72796646e+09 -3.04103373e+09  4.15540301e+09  8.96665928e+10
  -5.15432602e+09  2.24332452e+10  2.33305702e+10  1.52336450e+11
   1.43201372e+10 -1.95028746e+10  5.51551631e+10 -1.91026010e+09
  -1.04181932e+11  4.17906524e+10  8.48401971e+09  4.28086518e+10
  -8.24812257e+10 -7.04432456e+10 -8.15313469e+10  1.54663291e+10
  -1.83087370e+10]]"
./TestFULL/Baseball/Baseball_028 .mp4,Landslide,"[[-8.1434067e+10  4.4313672e+09 -5.0651484e+09 -1.0288401e+11
   2.2419067e+09 -2.9311764e+09  2.1524242e+09  8.9509880e+10
  -6.1475046e+09  2.2228693e+10  2.3613188e+10  1.4934385e+11
   1.3296055e+10 -1.9378674e+10  5.3161153e+10 -3.5991055e+09
  -9.9916571e+10  3.9262654e+10  8.5074970e+09  4.3772555e+10
  -8.1660002e+10 -6.8099838e+10 -7.7496574e+10  1.5005994e+10
  -1.8543989e+10]]"
./TestFULL/Baseball/Baseball_026 .mp4,Landslide,"[[-6.9125325e+10  3.2280758e+09 -3.9443077e+09 -8.6258934e+10
   2.6171799e+09 -2.8237481e+09  2.5530534e+09  7.6025217e+10
  -5.4904218e+09  1.9381205e+10  2.0497547e+10  1.2790437e+11
   1.1318948e+10 -1.6677690e+10  4.5269590e+10 -3.4178478e+09
  -8.4547789e+10  3.1993944e+10  7.3963433e+09  3.6705452e+10
  -6.9494424e+10 -5.7927692e+10 -6.6473894e+10  1.2367066e+10
  -1.5900492e+10]]"
./TestFULL/Baseball/Baseball_023 .mp4,Landslide,"[[-4.9593168e+10  3.0637069e+09 -4.2690975e+09 -5.9631194e+10
   1.3177047e+09 -1.4385404e+09  6.7122765e+08  5.2817752e+10
  -2.7995686e+09  1.3074627e+10  1.4454488e+10  8.8984429e+10
   7.0620472e+09 -1.1650175e+10  3.0512423e+10 -2.5782295e+09
  -5.9544879e+10  2.4049910e+10  6.1791237e+09  2.6201240e+10
  -4.7115518e+10 -3.9753875e+10 -4.4302094e+10  8.2114606e+09
  -1.0936766e+10]]"
./TestFULL/Baseball/Baseball_044 .mp4,Landslide,"[[-6.7970351e+10  2.1498035e+09 -5.1067146e+09 -8.6361424e+10
   2.8067200e+09 -2.4424197e+09  2.3174889e+09  7.4367148e+10
  -5.8954312e+09  1.8583970e+10  1.9699259e+10  1.2641437e+11
   1.0497887e+10 -1.6716056e+10  4.4999168e+10 -2.9124485e+09
  -8.3192275e+10  3.1769149e+10  7.2714004e+09  3.5557700e+10
  -6.8780622e+10 -5.7055678e+10 -6.6590757e+10  1.2414259e+10
  -1.4937511e+10]]"
./TestFULL/Baseball/Baseball_017 .mp4,Landslide,"[[-8.8886780e+10  5.2337736e+09 -6.6004106e+09 -1.1163218e+11
   3.2166267e+09 -2.1697928e+09  3.8464077e+09  9.4967161e+10
  -3.4366377e+09  2.5195772e+10  2.4347361e+10  1.5918970e+11
   1.5247292e+10 -2.0662092e+10  5.7171362e+10 -4.7098209e+09
  -1.1241867e+11  4.4867199e+10  1.1771746e+10  4.6539715e+10
  -8.7155302e+10 -7.4072334e+10 -8.3742474e+10  1.6746212e+10
  -1.9425509e+10]]"
