Video_File,Predicted_Category,Predictions
./TestFULL/Baseball/Baseball_008 .mp4,NonEvent,"[[-0.27076727 -0.21219718 -0.16106716 -0.79609144  0.14582789  0.2394652
  -0.59908146 -0.37111092 -0.04030771 -0.2161317  -0.16707966 -0.6561657
  -0.18251702  1.0717424   0.01712228 -0.20950079  0.51177377 -0.21235962
  -0.23550391  0.11857949  0.05330868 -0.24932386 -0.25087127  0.48104665
  -0.23584017]]"
./TestFULL/Baseball/Baseball_035 .mp4,NonEvent,"[[-0.1426957  -0.3733711  -0.18462157 -0.5071663   0.24776475  0.4642217
  -0.2357434  -0.14755611 -0.22943608 -0.55187047  0.17517059 -0.41644588
  -0.13414563  0.8136243   0.24785423  0.05366223  0.4450125  -0.43177465
   0.04085025  0.20534073  0.29060367 -0.09437247 -0.28362823  0.06757706
   0.07727798]]"
./TestFULL/Baseball/Baseball_005 .mp4,NonEvent,"[[-0.32549566 -0.26670638 -0.13410793 -0.77336323  0.09532372  0.3358684
  -0.4599327  -0.27292064  0.05999928 -0.3700555   0.25790915 -0.4547952
  -0.25025797  0.69858915  0.15202454  0.00953368  0.33163363 -0.37697726
   0.00644864  0.10034925 -0.08118618 -0.35750324 -0.23566301  0.11289855
  -0.33376583]]"
./TestFULL/Baseball/Baseball_021 .mp4,NonEvent,"[[-0.18333478 -0.2638987  -0.00303687 -0.3581609  -0.20017847  0.29860884
  -0.42374107 -0.28929996 -0.03324512 -0.09281606  0.24184552 -0.6083364
  -0.31575495  0.70057285  0.02193346  0.17911483  0.30312142 -0.25157708
   0.04423131  0.13781387  0.13203701 -0.17187604 -0.1821535   0.11045159
  -0.05130911]]"
./TestFULL/Baseball/Baseball_012 .mp4,NonEvent,"[[-0.27832672 -0.33146548 -0.08296347 -0.46827808  0.2529369   0.39669243
  -0.42253286 -0.12801787 -0.1288975  -0.1514215  -0.16919918 -0.39771515
  -0.29852694  0.72774583  0.18460783  0.2666241   0.326777   -0.54776466
  -0.01851657  0.09081928  0.24207759 -0.31741157  0.01541203  0.06052943
  -0.03940134]]"
./TestFULL/Baseball/Baseball_050 .mp4,NonEvent,"[[-0.33096766 -0.35517576  0.00676841 -0.28878543 -0.08499672  0.04370745
  -0.25772768 -0.41486046 -0.17405011 -0.07264795  0.06997515 -0.47160283
  -0.15480511  0.49300268  0.42131785  0.13505375  0.46250853 -0.5163245
   0.18021308  0.08716091  0.17931427 -0.07268518 -0.21966963  0.43669993
   0.02468098]]"
./TestFULL/Baseball/Baseball_019 .mp4,Running,"[[-0.21629123 -0.34698558 -0.3303949  -0.6016157   0.05069226  0.1217893
  -0.30303913 -0.23051284 -0.1165124  -0.1996156  -0.15113375 -0.30982938
  -0.1519827   0.5329836   0.16635664  0.15851176  0.20185848 -0.8101412
   0.01908317  0.21623743  0.61576736 -0.07071099 -0.23842718  0.30425954
   0.04751504]]"
./TestFULL/Baseball/Baseball_022 .mp4,NonEvent,"[[-0.35888234 -0.22290942  0.14990763 -0.3645928   0.06262796  0.12098465
  -0.33774492 -0.35555783 -0.4176485  -0.12076644 -0.03962623 -0.3722119
  -0.02382594  0.59865004 -0.06755652 -0.05770135  0.48964247 -0.3345831
   0.09918543 -0.13266882  0.09886131  0.10688096 -0.23080815  0.45497417
  -0.05934937]]"
./TestFULL/Baseball/Baseball_001 .mp4,NonEvent,"[[-0.38789448 -0.2846137  -0.10416343 -0.69322884  0.05128958  0.28739616
  -0.4227081  -0.31735736 -0.17724836 -0.1766839  -0.14510046 -0.4082738
  -0.21208     0.67811114  0.23523973  0.24989395  0.12611766 -0.44845155
   0.12097443  0.24581705  0.4500764  -0.24117394 -0.26079878  0.23446408
  -0.02538383]]"
./TestFULL/Baseball/Baseball_046 .mp4,Ploughing,"[[-0.2930333  -0.40416056  0.01698823 -0.5000404  -0.07652372  0.08816026
  -0.57967407 -0.17118809 -0.17058745 -0.4038945   0.11923368 -0.779286
  -0.29511163  0.58931863  0.5546384  -0.01997045  0.6202798  -0.3825829
  -0.08301035  0.13599434  0.2278167  -0.33903617 -0.33595875  0.09732755
  -0.1735244 ]]"
