Video_File,Predicted_Category,Predictions
./TestFULL/Baseball/Baseball_008 .mp4,PostEarthquake,"[[ 8.90107802e+09  1.19967506e+11  8.87516692e+10  6.84660490e+10
   7.20077455e+10 -1.08144771e+11  8.90076611e+10  1.60805978e+11
   1.57378413e+11  5.61594532e+10 -2.89745940e+10  3.90583706e+10
  -3.66869627e+10  7.76608072e+10 -3.23736719e+10 -1.04484676e+11
  -1.40279923e+11  1.27889007e+11  2.20165784e+11 -2.37879194e+10
  -7.56227840e+08 -4.43049779e+10  1.31157729e+11 -5.64169216e+09
  -1.59983337e+11]]"
./TestFULL/Baseball/Baseball_035 .mp4,PostEarthquake,"[[ 1.25501870e+10  1.50260122e+11  1.12954016e+11  9.44214671e+10
   8.95240520e+10 -1.33684871e+11  1.25096739e+11  1.97537776e+11
   1.93549468e+11  7.40507402e+10 -2.84552212e+10  4.57647636e+10
  -4.88289526e+10  8.87357358e+10 -4.25493873e+10 -1.33760426e+11
  -1.67795769e+11  1.63847471e+11  2.73010475e+11 -2.98071491e+10
  -8.48892672e+09 -5.23112489e+10  1.57522248e+11 -4.12333184e+09
  -2.07211168e+11]]"
./TestFULL/Baseball/Baseball_005 .mp4,PostEarthquake,"[[ 9.0758912e+09  1.2038550e+11  8.9630368e+10  7.0462374e+10
   7.2838889e+10 -1.0915061e+11  9.2589548e+10  1.6135473e+11
   1.5818888e+11  5.7078821e+10 -2.8505127e+10  3.8189912e+10
  -3.7509505e+10  7.6096184e+10 -3.1428850e+10 -1.0691530e+11
  -1.4021516e+11  1.2955961e+11  2.2132715e+11 -2.3637535e+10
  -2.3586307e+09 -4.4815176e+10  1.3020233e+11 -6.5313848e+09
  -1.6175507e+11]]"
./TestFULL/Baseball/Baseball_021 .mp4,PostEarthquake,"[[ 1.1015373e+10  1.4932892e+11  1.1200692e+11  8.2373394e+10
   9.0677060e+10 -1.3709882e+11  1.1109718e+11  2.0091576e+11
   1.9927802e+11  6.6165866e+10 -3.9554601e+10  5.1322950e+10
  -4.6203245e+10  9.4617100e+10 -4.2549662e+10 -1.2821577e+11
  -1.7589993e+11  1.6028803e+11  2.7588749e+11 -2.9124921e+10
  -8.0435898e+08 -5.7337450e+10  1.6185131e+11 -9.6885770e+09
  -2.0318039e+11]]"
./TestFULL/Baseball/Baseball_012 .mp4,PostEarthquake,"[[ 4.92105574e+09  9.52117412e+10  8.44615025e+10  5.64248699e+10
   7.02993121e+10 -1.03426130e+11  7.07066429e+10  1.48250690e+11
   1.46792563e+11  4.91020452e+10 -3.28488694e+10  3.69104732e+10
  -4.50718269e+10  6.43780608e+10 -2.76753859e+10 -9.28603750e+10
  -1.27001879e+11  1.15277865e+11  2.02430054e+11 -2.30468854e+10
   5.94430720e+09 -4.61110436e+10  1.24439257e+11 -9.88293325e+09
  -1.48569702e+11]]"
./TestFULL/Baseball/Baseball_050 .mp4,PostEarthquake,"[[ 1.4080390e+10  2.0855806e+11  1.6595706e+11  1.2271936e+11
   1.3586643e+11 -1.9263762e+11  1.6061489e+11  2.9269184e+11
   2.8695855e+11  9.3498327e+10 -5.0070422e+10  7.5811496e+10
  -6.8659331e+10  1.3017252e+11 -6.1067670e+10 -1.8091262e+11
  -2.5308522e+11  2.2952331e+11  3.9672273e+11 -4.9768157e+10
  -2.2968852e+09 -8.1613480e+10  2.2780056e+11 -5.6864256e+09
  -2.9257964e+11]]"
./TestFULL/Baseball/Baseball_019 .mp4,PostEarthquake,"[[ 1.12337183e+10  1.60333775e+11  1.29125859e+11  9.20054252e+10
   1.07045986e+11 -1.52226431e+11  1.20581202e+11  2.25330201e+11
   2.22321656e+11  7.38111324e+10 -4.09900114e+10  5.73882778e+10
  -5.43921480e+10  1.02473466e+11 -4.62659871e+10 -1.42319763e+11
  -1.97826953e+11  1.77362207e+11  3.08772930e+11 -3.58252052e+10
   2.36671155e+09 -6.51136369e+10  1.82894920e+11 -7.28280474e+09
  -2.25666531e+11]]"
./TestFULL/Baseball/Baseball_022 .mp4,PostEarthquake,"[[ 1.6454541e+10  2.3243457e+11  1.8904388e+11  1.4879831e+11
   1.5165143e+11 -2.1432887e+11  1.9096733e+11  3.2692598e+11
   3.1533842e+11  1.0699022e+11 -5.2689699e+10  8.6561849e+10
  -8.1587134e+10  1.4181063e+11 -6.4235160e+10 -2.0952524e+11
  -2.7951812e+11  2.6275062e+11  4.3818494e+11 -4.9500193e+10
  -9.2912435e+09 -9.0532340e+10  2.4192410e+11 -3.0210322e+09
  -3.3057056e+11]]"
./TestFULL/Baseball/Baseball_001 .mp4,PostEarthquake,"[[ 9.24522701e+09  1.61822982e+11  1.26340104e+11  9.80400046e+10
   1.02476038e+11 -1.45235362e+11  1.26768685e+11  2.18952778e+11
   2.18445136e+11  7.10325944e+10 -3.61581937e+10  5.79700572e+10
  -5.26416896e+10  9.89859103e+10 -4.62630789e+10 -1.42572585e+11
  -1.91933891e+11  1.77519002e+11  3.00371345e+11 -3.86333409e+10
  -5.41982771e+09 -6.00294277e+10  1.71633361e+11 -6.06689075e+09
  -2.23490277e+11]]"
./TestFULL/Baseball/Baseball_046 .mp4,PostEarthquake,"[[ 1.45303112e+10  1.79942654e+11  1.40350439e+11  9.61747681e+10
   1.15936166e+11 -1.76548102e+11  1.28023388e+11  2.49225429e+11
   2.45319352e+11  8.90331382e+10 -6.03907318e+10  6.33632072e+10
  -6.62527427e+10  1.12570450e+11 -5.29978081e+10 -1.57908025e+11
  -2.19280753e+11  1.95669492e+11  3.50663803e+11 -3.29995837e+10
   1.20285737e+10 -7.93202442e+10  2.08220750e+11 -1.31550157e+10
  -2.51334328e+11]]"
./TestFULL/Baseball/Baseball_028 .mp4,PostEarthquake,"[[ 1.1249857e+10  1.6636618e+11  1.2075539e+11  9.4691770e+10
   1.0104026e+11 -1.5744554e+11  1.2510600e+11  2.2412565e+11
   2.2487033e+11  7.7545480e+10 -5.0944971e+10  5.1064426e+10
  -5.4820467e+10  1.0736767e+11 -4.5500768e+10 -1.4417830e+11
  -1.9427649e+11  1.8151442e+11  3.1111296e+11 -3.1373507e+10
   3.6765678e+09 -7.0039347e+10  1.8908556e+11 -1.4619304e+10
  -2.2540517e+11]]"
./TestFULL/Baseball/Baseball_026 .mp4,PostEarthquake,"[[ 8.4180265e+09  1.4776590e+11  1.1924596e+11  8.4293411e+10
   1.0405883e+11 -1.4546528e+11  1.1210092e+11  2.1445136e+11
   2.1816739e+11  6.6483519e+10 -4.7712502e+10  5.4614151e+10
  -5.8812023e+10  9.9050488e+10 -4.6719234e+10 -1.3161833e+11
  -1.8946215e+11  1.7154843e+11  2.9245977e+11 -3.2528005e+10
   7.6965125e+09 -7.1124771e+10  1.7604733e+11 -1.0128283e+10
  -2.1860481e+11]]"
./TestFULL/Baseball/Baseball_023 .mp4,PostEarthquake,"[[ 7.7709010e+09  1.0755267e+11  7.7577454e+10  6.3611556e+10
   6.3237124e+10 -9.6440812e+10  8.3026928e+10  1.4113504e+11
   1.4106301e+11  5.2742259e+10 -2.7908764e+10  3.1094739e+10
  -3.1958006e+10  6.7684958e+10 -3.0717866e+10 -9.4204289e+10
  -1.2311687e+11  1.1274248e+11  1.9709659e+11 -2.0917707e+10
  -7.1788909e+08 -3.9904584e+10  1.1786282e+11 -8.5279780e+09
  -1.4371778e+11]]"
./TestFULL/Baseball/Baseball_044 .mp4,PostEarthquake,"[[ 8.45394739e+09  1.53127600e+11  1.21038455e+11  8.65743258e+10
   9.82787686e+10 -1.42279606e+11  1.11257362e+11  2.09318674e+11
   2.07239315e+11  6.60227727e+10 -4.27998904e+10  5.48872315e+10
  -5.22691953e+10  9.71939185e+10 -4.62652580e+10 -1.31564093e+11
  -1.83743988e+11  1.70479092e+11  2.87939068e+11 -3.34215619e+10
   2.37975322e+09 -6.13257830e+10  1.66881985e+11 -8.90108621e+09
  -2.10375410e+11]]"
./TestFULL/Baseball/Baseball_017 .mp4,PostEarthquake,"[[ 1.6301754e+10  1.7762333e+11  1.3529216e+11  1.0277951e+11
   1.0984514e+11 -1.6455716e+11  1.3933555e+11  2.4642848e+11
   2.3880853e+11  8.7780975e+10 -4.3236250e+10  5.6909312e+10
  -6.0409053e+10  1.1222531e+11 -5.3927354e+10 -1.5973038e+11
  -2.1156010e+11  1.9179274e+11  3.3479442e+11 -3.3775297e+10
  -1.9750326e+06 -7.2718631e+10  1.9576241e+11 -7.8794793e+09
  -2.4758939e+11]]"
./TestFULL/Basketball/Basketball_047 .mp4,PostEarthquake,"[[ 9.47240653e+09  1.19341769e+11  8.67889725e+10  7.14980065e+10
   7.33666263e+10 -1.06726556e+11  9.09163151e+10  1.59829869e+11
   1.59699288e+11  5.68686387e+10 -2.94465618e+10  4.04287037e+10
  -3.85115382e+10  7.60408719e+10 -3.21164288e+10 -1.06243801e+11
  -1.40970639e+11  1.26661992e+11  2.22374576e+11 -2.60538593e+10
  -1.51527501e+09 -4.50858762e+10  1.30854453e+11 -8.83152282e+09
  -1.61448018e+11]]"
./TestFULL/Basketball/Basketball_043 .mp4,PostEarthquake,"[[ 8.48531866e+09  1.19049699e+11  8.92252815e+10  6.83863613e+10
   7.64219720e+10 -1.10990344e+11  8.99270820e+10  1.64329112e+11
   1.63526230e+11  5.95170263e+10 -3.28308019e+10  4.06056223e+10
  -3.85382646e+10  7.81648855e+10 -3.45989775e+10 -1.05981854e+11
  -1.46490819e+11  1.27988785e+11  2.27396518e+11 -2.59890586e+10
   7.61095424e+08 -4.92542034e+10  1.36114512e+11 -8.94976819e+09
  -1.66332400e+11]]"
./TestFULL/Basketball/Basketball_001 .mp4,PostEarthquake,"[[ 1.16219013e+10  1.39415667e+11  1.07769446e+11  7.73871534e+10
   9.25219062e+10 -1.33294195e+11  1.00761272e+11  1.96909187e+11
   2.00924152e+11  6.77546025e+10 -4.24807997e+10  5.10464614e+10
  -5.16623524e+10  9.06126131e+10 -3.94579763e+10 -1.25458809e+11
  -1.77350001e+11  1.52042357e+11  2.72479748e+11 -3.22601759e+10
   5.02225306e+09 -5.90564229e+10  1.65645058e+11 -1.60967270e+10
  -2.00239186e+11]]"
./TestFULL/Basketball/Basketball_009 .mp4,PostEarthquake,"[[ 8.0358339e+09  1.1637696e+11  8.9705128e+10  6.6151313e+10
   7.6558516e+10 -1.1081707e+11  8.5888614e+10  1.6098650e+11
   1.6306602e+11  5.2233818e+10 -3.4958213e+10  4.1476452e+10
  -4.2083709e+10  7.5575869e+10 -3.3973598e+10 -1.0305944e+11
  -1.4359223e+11  1.2835143e+11  2.2386241e+11 -2.5325228e+10
   3.0756155e+09 -5.0140869e+10  1.3311060e+11 -8.2907172e+09
  -1.6407547e+11]]"
./TestFULL/Basketball/Basketball_024 .mp4,PostEarthquake,"[[ 8.71216333e+09  1.19650845e+11  8.21627699e+10  6.41151427e+10
   7.33718774e+10 -1.08270576e+11  8.48006021e+10  1.56697461e+11
   1.60982417e+11  5.46697667e+10 -3.16866744e+10  4.28290130e+10
  -3.52641270e+10  7.95354481e+10 -3.04208835e+10 -1.02562415e+11
  -1.40239667e+11  1.25929759e+11  2.21718462e+11 -2.63460659e+10
  -1.48944742e+09 -4.11251753e+10  1.32256014e+11 -1.30995692e+10
  -1.56630467e+11]]"
./TestFULL/Basketball/Basketball_020 .mp4,PostEarthquake,"[[ 1.2613303e+10  1.5493377e+11  1.1369424e+11  8.8762499e+10
   9.8463465e+10 -1.4710890e+11  1.1516518e+11  2.1335079e+11
   2.1308595e+11  7.9520514e+10 -4.6107734e+10  5.2682658e+10
  -5.2944097e+10  1.0186804e+11 -4.6540399e+10 -1.3969911e+11
  -1.8755989e+11  1.6740416e+11  2.9637673e+11 -3.1379380e+10
   5.4028493e+09 -6.6027192e+10  1.7639145e+11 -1.5513864e+10
  -2.1845033e+11]]"
./TestFULL/Basketball/Basketball_040 .mp4,PostEarthquake,"[[ 7.2465746e+09  2.2228219e+11  1.8587571e+11  1.4225126e+11
   1.4486469e+11 -2.0340718e+11  1.7902466e+11  3.0948760e+11
   3.0475377e+11  8.9944343e+10 -5.2393112e+10  8.0124273e+10
  -7.8421180e+10  1.3457046e+11 -6.1713039e+10 -1.9384386e+11
  -2.6674040e+11  2.5760481e+11  4.1663955e+11 -4.7093850e+10
  -4.9238948e+09 -8.6643237e+10  2.3316059e+11 -1.5952751e+09
  -3.1715390e+11]]"
./TestFULL/Basketball/Basketball_005 .mp4,PostEarthquake,"[[ 7.97872691e+09  9.11509504e+10  6.48914207e+10  5.56182569e+10
   6.02938286e+10 -9.07755110e+10  7.03779881e+10  1.27375573e+11
   1.32910694e+11  4.92646810e+10 -2.97461002e+10  3.02045901e+10
  -3.18865900e+10  6.36005581e+10 -2.53724877e+10 -8.67337912e+10
  -1.18157148e+11  9.76424059e+10  1.82989619e+11 -2.26120335e+10
   5.24755354e+09 -3.96658033e+10  1.16164125e+11 -1.11629056e+10
  -1.32079559e+11]]"
./TestFULL/Basketball/Basketball_029 .mp4,PostEarthquake,"[[ 8.16693043e+09  9.65062656e+10  7.23307233e+10  5.91373353e+10
   5.96558152e+10 -8.79597158e+10  7.72046438e+10  1.31937985e+11
   1.30818384e+11  4.85195162e+10 -2.29548421e+10  3.07629732e+10
  -3.17979279e+10  6.01608929e+10 -2.78838477e+10 -8.80245473e+10
  -1.15681190e+11  1.03595106e+11  1.82475276e+11 -1.96129526e+10
  -1.21284083e+09 -3.81853655e+10  1.06517651e+11 -4.24026650e+09
  -1.34558556e+11]]"
./TestFULL/Basketball/Basketball_044 .mp4,PostEarthquake,"[[ 1.17034435e+10  1.64094427e+11  1.18447391e+11  9.37018900e+10
   1.01200871e+11 -1.52617402e+11  1.24211634e+11  2.18580861e+11
   2.21220831e+11  7.95233812e+10 -4.38277325e+10  5.14220892e+10
  -5.32048364e+10  1.07140489e+11 -4.34622915e+10 -1.43970910e+11
  -1.94810380e+11  1.73886587e+11  3.09262451e+11 -3.47521229e+10
   2.36428493e+09 -6.58219663e+10  1.84557601e+11 -1.42833428e+10
  -2.22026727e+11]]"
./TestFULL/Basketball/Basketball_017 .mp4,PostEarthquake,"[[ 1.3773373e+10  2.1699004e+11  1.7165353e+11  1.3127497e+11
   1.3842489e+11 -1.9520456e+11  1.7003740e+11  2.9744896e+11
   2.9044179e+11  9.9211624e+10 -4.8460288e+10  7.5436524e+10
  -7.0292955e+10  1.3316110e+11 -5.9772940e+10 -1.9097608e+11
  -2.6035035e+11  2.3858459e+11  4.0726862e+11 -5.2208550e+10
  -3.0011927e+09 -8.5114561e+10  2.3351224e+11 -5.7885199e+09
  -3.0206493e+11]]"
