Video_File,Predicted_Category,Predictions
./TestFULL/Baseball/Baseball_008 .mp4,PoliceChase,"[[-0.19196413  0.02305459  0.01837137 -0.02011525  0.06339026 -0.3106923
   0.12165345 -0.23553035  0.05855111  0.2484514   0.3768646  -0.13996322
  -0.06415682  0.26676437 -0.3521753   0.188724   -0.1453848   0.4851071
   0.26477236  0.17880702  0.23135936  0.21989438  0.00695672 -0.23913781
  -0.03345018]]"
./TestFULL/Baseball/Baseball_035 .mp4,Flood,"[[-0.08552003 -0.23797743 -0.30847964 -0.13194181  0.08482166 -0.37924317
   0.19121876 -0.43316573  0.23183812  0.40903047  0.29661828 -0.23752765
  -0.23520724  0.15793583 -0.5159313   0.25792798 -0.34869167 -0.09979236
   0.03236589  0.13255201  0.3514461   0.16557205 -0.14575888 -0.07282373
  -0.16389255]]"
./TestFULL/Baseball/Baseball_005 .mp4,PoliceChase,"[[-0.07666304  0.08369612 -0.25007135 -0.23541419  0.22582199 -0.24292545
  -0.2844711  -0.08896484 -0.03180726  0.1936783   0.3341574   0.09404449
  -0.23076569  0.33132055 -0.5117454  -0.07228301 -0.01915772  0.36521742
   0.19882943  0.00982381  0.08693349  0.17671467  0.09973961 -0.17122965
  -0.22584324]]"
./TestFULL/Baseball/Baseball_021 .mp4,Flood,"[[-0.2511325  -0.0372088  -0.12302247 -0.01299642 -0.02795697 -0.30682254
   0.2485968  -0.3620167  -0.12429429  0.39871785  0.12674955  0.03514418
  -0.17190136  0.13490255 -0.42219248  0.05176203 -0.14731634  0.31137922
   0.3714154  -0.10263272  0.05687866  0.27456218 -0.05851545 -0.23595071
   0.06431576]]"
./TestFULL/Baseball/Baseball_012 .mp4,PoliceChase,"[[-0.14699218 -0.01831154 -0.19322713 -0.24569151  0.28982458 -0.29066327
   0.14707753 -0.40004778  0.20558803  0.21495512  0.11896265  0.13718842
  -0.33606857  0.31849983 -0.30207637  0.34602723 -0.01798581  0.42130718
  -0.06010944 -0.08039709  0.20828168  0.20088398 -0.14717387 -0.20469038
  -0.03845862]]"
./TestFULL/Baseball/Baseball_050 .mp4,Constructing,"[[-0.16623065 -0.21413895 -0.0634866  -0.47061977  0.25768557 -0.15527163
   0.32412526 -0.12281568  0.08652119  0.262062    0.29227978  0.13169627
  -0.3332352   0.14216615 -0.14056422  0.11463814 -0.16236801  0.29685405
  -0.00433057  0.17053077  0.26239526  0.14286852  0.10243396 -0.28693157
   0.13334937]]"
./TestFULL/Baseball/Baseball_019 .mp4,Constructing,"[[-0.09392308 -0.24637236 -0.21315232 -0.08471772  0.14418451 -0.22714216
   0.36944348 -0.26224774  0.13096961  0.23310913  0.29620346  0.03457623
  -0.1974794   0.19741021 -0.2562049   0.33863673 -0.29200065 -0.04269587
  -0.06939172 -0.0132398   0.25495988  0.11110654 -0.00040581 -0.1877384
  -0.09389385]]"
./TestFULL/Baseball/Baseball_022 .mp4,Running,"[[-0.24022712 -0.26967886 -0.13707767 -0.48644757  0.13890257 -0.3331091
   0.09672035 -0.27565223 -0.0569557   0.12989393  0.1864717   0.07640292
  -0.12616648  0.07990219 -0.29067057  0.12501544 -0.12593569  0.23333733
  -0.11569373  0.26271865  0.3156261   0.02957396  0.09491586 -0.33302787
   0.10207176]]"
./TestFULL/Baseball/Baseball_001 .mp4,PoliceChase,"[[-0.13045691 -0.2398272  -0.27736825 -0.02963873  0.14913009 -0.49585387
   0.23623583 -0.33903846  0.07074194  0.26235768  0.2927857   0.26000988
  -0.30041116  0.25581485 -0.40342158  0.26809692 -0.01790954  0.29692444
  -0.08962805 -0.01729679  0.2585695   0.20017628  0.10572367 -0.27070946
   0.03778756]]"
./TestFULL/Baseball/Baseball_046 .mp4,Harvesting,"[[-0.03827948 -0.16225624 -0.35697013 -0.07680555  0.22879414 -0.30398136
   0.10511863 -0.4497511  -0.16466565  0.51715606  0.61433357  0.1449295
  -0.43575838  0.01981447 -0.52069885  0.19497538 -0.14747629  0.4115401
   0.5117856   0.1256669   0.29273075  0.3493955  -0.30704752 -0.30581358
  -0.2891565 ]]"
